Day,Probability,demand
1,0.05830836,9
2,0.05830875,11
3,0.05830981,11
4,0.05831255,12
5,0.05831937,12
6,0.058335662,12
7,0.05837304,9
8,0.058455408,11
9,0.058629747,9
10,0.058984146,10
11,0.059676085,9
12,0.060973637,12
13,0.063310616,11
14,0.067353226,9
15,0.07406979,10
16,0.08478765,8
17,0.10121422,8
18,0.12539457,9
19,0.15958114,8
20,0.20600337,9
21,0.2665477,12
22,0.3423878,10
23,0.43363124,10
24,0.53906554,10
25,0.6560801,11
26,0.7808115,8
27,0.9085109,12
28,1.0340792,10
29,1.1526693,10
30,1.2602402,8
31,1.3539573,8
32,1.432376,12
33,1.4953991,8
34,1.544046,10
35,1.5801114,8
36,1.6057917,12
37,1.6233544,10
38,1.6348904,8
39,1.642168,12
40,1.6465778,12
41,1.6491443,12
42,1.6505787,8
43,1.6513488,12
44,1.6517459,8
45,1.6519425,8
46,1.652036,10
47,1.6520787,8
48,1.6520976,8
49,1.6521055,12
50,1.6521086,11
51,1.6521099,10
52,1.6521103,11
53,1.6521105,10
54,1.6521106,9
55,1.6521106,9
56,1.6521106,8
57,1.6521106,8
58,1.6521106,12
59,1.6521106,10
60,1.6521106,9
61,1.6521106,6
62,1.6521106,8
63,1.6521106,10
64,1.6521106,9
65,1.6521106,9
66,1.6521106,7
67,1.6521106,7
68,1.6521106,9
69,1.6521106,6
70,1.6521106,6
71,1.6521106,10
72,1.6521106,9
73,1.6521106,8
74,0.05830836,6
75,0.05830875,9
76,0.05830981,7
77,0.05831255,8
78,0.05831937,9
79,0.058335662,7
80,0.05837304,9
81,0.058455408,6
82,0.058629747,9
83,0.058984146,8
84,0.059676085,10
85,0.060973637,6
86,0.063310616,10
87,0.067353226,8
88,0.07406979,8
89,0.08478765,9
90,0.10121422,9
91,0.12539457,9
92,0.15958114,7
93,0.20600337,7
94,0.2665477,6
95,0.3423878,7
96,0.43363124,9
97,0.53906554,9
98,0.6560801,9
99,0.7808115,8
100,0.9085109,7
101,1.0340792,6
102,1.1526693,7
103,1.2602402,10
104,1.3539573,6
105,1.432376,10
106,1.4953991,8
107,1.544046,8
108,1.5801114,10
109,1.6057917,8
110,1.6233544,6
111,1.6348904,9
112,1.642168,7
113,1.6465778,8
114,1.6491443,9
115,1.6505787,10
116,1.6513488,8
117,1.6517459,10
118,1.6519425,7
119,1.652036,7
120,1.6520787,10
121,1.6520976,3
122,1.6521055,3
123,1.6521086,6
124,1.6521099,3
125,1.6521103,3
126,1.6521105,6
127,1.6521106,6
128,1.6521106,2
129,1.6521106,2
130,1.6521106,4
131,1.6521106,5
132,1.6521106,3
133,1.6521106,4
134,1.6521106,5
135,1.6521106,6
136,1.6521106,2
137,1.6521106,2
138,1.6521106,4
139,1.6521106,2
140,1.6521106,4
141,1.6521106,6
142,1.6521106,5
143,1.6521106,5
144,1.6521106,2
145,1.6521106,3
146,1.6521106,5
147,0.05830836,6
148,0.05830875,3
149,0.05830981,5
150,0.05831255,6
151,0.05831937,3
152,0.058335662,4
153,0.05837304,4
154,0.058455408,4
155,0.058629747,5
156,0.058984146,6
157,0.059676085,6
158,0.060973637,2
159,0.063310616,2
160,0.067353226,3
161,0.07406979,6
162,0.08478765,4
163,0.10121422,3
164,0.12539457,6
165,0.15958114,2
166,0.20600337,2
167,0.2665477,5
168,0.3423878,4
169,0.43363124,6
170,0.53906554,2
171,0.6560801,6
172,0.7808115,2
173,0.9085109,4
174,1.0340792,5
175,1.1526693,6
176,1.2602402,6
177,1.3539573,6
178,1.432376,3
179,1.4953991,3
180,1.544046,6
181,1.5801114,4
182,1.6057917,6
183,1.6233544,2
184,1.6348904,5
185,1.642168,6
186,1.6465778,6
187,1.6491443,5
188,1.6505787,2
189,1.6513488,2
190,1.6517459,6
191,1.6519425,6
192,1.652036,5
193,1.6520787,2
194,1.6520976,6
195,1.6521055,5
196,1.6521086,5
197,1.6521099,4
198,1.6521103,6
199,1.6521105,6
200,1.6521106,6
201,1.6521106,5
202,1.6521106,6
203,1.6521106,2
204,1.6521106,6
205,1.6521106,2
206,1.6521106,5
207,1.6521106,3
208,1.6521106,6
209,1.6521106,5
210,1.6521106,2
211,1.6521106,4
212,1.6521106,3
213,1.6521106,5
214,1.6521106,4
215,1.6521106,6
216,1.6521106,3
217,1.6521106,5
218,1.6521106,3
219,1.6521106,3
220,0.05830836,4
221,0.05830875,3
222,0.05830981,5
223,0.05831255,5
224,0.05831937,6
225,0.058335662,5
226,0.05837304,2
227,0.058455408,5
228,0.058629747,2
229,0.058984146,5
230,0.059676085,2
231,0.060973637,2
232,0.063310616,6
233,0.067353226,3
234,0.07406979,2
235,0.08478765,6
236,0.10121422,3
237,0.12539457,6
238,0.15958114,3
239,0.20600337,3
240,0.2665477,6
241,0.3423878,6
242,0.43363124,5
243,0.53906554,5
244,0.6560801,2
245,0.7808115,2
246,0.9085109,2
247,1.0340792,3
248,1.1526693,5
249,1.2602402,3
250,1.3539573,2
251,1.432376,5
252,1.4953991,2
253,1.544046,5
254,1.5801114,6
255,1.6057917,5
256,1.6233544,4
257,1.6348904,3
258,1.642168,3
259,1.6465778,5
260,1.6491443,2
261,1.6505787,2
262,1.6513488,6
263,1.6517459,2
264,1.6519425,4
265,1.652036,4
266,1.6520787,4
267,1.6520976,5
268,1.6521055,2
269,1.6521086,2
270,1.6521099,3
271,1.6521103,3
272,1.6521105,4
273,1.6521106,6
274,1.6521106,7
275,1.6521106,8
276,1.6521106,7
277,1.6521106,8
278,1.6521106,9
279,1.6521106,10
280,1.6521106,11
281,1.6521106,12
282,1.6521106,9
283,1.6521106,11
284,1.6521106,12
285,1.6521106,10
286,1.6521106,8
287,1.6521106,10
288,1.6521106,8
289,1.6521106,12
290,1.6521106,11
291,1.6521106,7
292,1.6521106,12
293,0.05830836,12
294,0.05830875,11
295,0.05830981,7
296,0.05831255,10
297,0.05831937,12
298,0.058335662,8
299,0.05837304,12
300,0.058455408,11
301,0.058629747,8
302,0.058984146,12
303,0.059676085,7
304,0.060973637,9
305,0.063310616,9
306,0.067353226,10
307,0.07406979,7
308,0.08478765,12
309,0.10121422,8
310,0.12539457,8
311,0.15958114,8
312,0.20600337,11
313,0.2665477,10
314,0.3423878,8
315,0.43363124,10
316,0.53906554,9
317,0.6560801,9
318,0.7808115,11
319,0.9085109,7
320,1.0340792,11
321,1.1526693,7
322,1.2602402,9
323,1.3539573,12
324,1.432376,11
325,1.4953991,12
326,1.544046,11
327,1.5801114,8
328,1.6057917,11
329,1.6233544,9
330,1.6348904,11
331,1.642168,11
332,1.6465778,8
333,1.6491443,7
334,1.6505787,8
335,1.6513488,9
336,1.6517459,9
337,1.6519425,12
338,1.652036,8
339,1.6520787,10
340,1.6520976,11
341,1.6521055,7
342,1.6521086,12
343,1.6521099,12
344,1.6521103,8
345,1.6521105,10
346,1.6521106,12
347,1.6521106,8
348,1.6521106,7
349,1.6521106,8
350,1.6521106,12
351,1.6521106,12
352,1.6521106,12
353,1.6521106,7
354,1.6521106,9
355,1.6521106,10
356,1.6521106,10
357,1.6521106,10
358,1.6521106,10
359,1.6521106,11
360,1.6521106,10
361,1.6521106,10
362,1.6521106,9
363,1.6521106,10
364,1.6521106,12
365,1.6521106,6
230,1.060973637,10.0
