Date	PickUp	Prob
1	9	0.05830836
2	11	0.05830875
3	11	0.05830981
4	12	0.05831255
5	12	0.05831937
6	12	0.058335662
7	9	0.05837304
8	11	0.058455408
9	9	0.058629747
10	10	0.058984146
11	9	0.059676085
12	12	0.060973637
13	11	0.063310616
14	9	0.067353226
15	10	0.07406979
16	8	0.08478765
17	8	0.10121422
18	9	0.12539457
19	8	0.15958114
20	9	0.20600337
21	12	0.2665477
22	10	0.3423878
23	10	0.43363124
24	10	0.53906554
25	11	0.6560801
26	8	0.7808115
27	12	0.9085109
28	10	1.0340792
29	10	1.1526693
30	8	1.2602402
31	8	1.3539573
32	12	1.432376
33	8	1.4953991
34	10	1.544046
35	8	1.5801114
36	12	1.6057917
37	10	1.6233544
38	8	1.6348904
39	12	1.642168
40	12	1.6465778
41	12	1.6491443
42	8	1.6505787
43	12	1.6513488
44	8	1.6517459
45	8	1.6519425
46	10	1.652036
47	8	1.6520787
48	8	1.6520976
49	12	1.6521055
50	11	1.6521086
51	10	1.6521099
52	11	1.6521103
53	10	1.6521105
54	9	1.6521106
55	9	1.6521106
56	8	1.6521106
57	8	1.6521106
58	12	1.6521106
59	10	1.6521106
60	9	1.6521106
61	6	1.6521106
62	8	1.6521106
63	10	1.6521106
64	9	1.6521106
65	9	1.6521106
66	7	1.6521106
67	7	1.6521106
68	9	1.6521106
69	6	1.6521106
70	6	1.6521106
71	10	1.6521106
72	9	1.6521106
73	8	1.6521106
74	6	0.05830836
75	9	0.05830875
76	7	0.05830981
77	8	0.05831255
78	9	0.05831937
79	7	0.058335662
80	9	0.05837304
81	6	0.058455408
82	9	0.058629747
83	8	0.058984146
84	10	0.059676085
85	6	0.060973637
86	10	0.063310616
87	8	0.067353226
88	8	0.07406979
89	9	0.08478765
90	9	0.10121422
91	9	0.12539457
92	7	0.15958114
93	7	0.20600337
94	6	0.2665477
95	7	0.3423878
96	9	0.43363124
97	9	0.53906554
98	9	0.6560801
99	8	0.7808115
100	7	0.9085109
101	6	1.0340792
102	7	1.1526693
103	10	1.2602402
104	6	1.3539573
105	10	1.432376
106	8	1.4953991
107	8	1.544046
108	10	1.5801114
109	8	1.6057917
110	6	1.6233544
111	9	1.6348904
112	7	1.642168
113	8	1.6465778
114	9	1.6491443
115	10	1.6505787
116	8	1.6513488
117	10	1.6517459
118	7	1.6519425
119	7	1.652036
120	10	1.6520787
121	3	1.6520976
122	3	1.6521055
123	6	1.6521086
124	3	1.6521099
125	3	1.6521103
126	6	1.6521105
127	6	1.6521106
128	2	1.6521106
129	2	1.6521106
130	4	1.6521106
131	5	1.6521106
132	3	1.6521106
133	4	1.6521106
134	5	1.6521106
135	6	1.6521106
136	2	1.6521106
137	2	1.6521106
138	4	1.6521106
139	2	1.6521106
140	4	1.6521106
141	6	1.6521106
142	5	1.6521106
143	5	1.6521106
144	2	1.6521106
145	3	1.6521106
146	5	1.6521106
147	6	0.05830836
148	3	0.05830875
149	5	0.05830981
150	6	0.05831255
151	3	0.05831937
152	4	0.058335662
153	4	0.05837304
154	4	0.058455408
155	5	0.058629747
156	6	0.058984146
157	6	0.059676085
158	2	0.060973637
159	2	0.063310616
160	3	0.067353226
161	6	0.07406979
162	4	0.08478765
163	3	0.10121422
164	6	0.12539457
165	2	0.15958114
166	2	0.20600337
167	5	0.2665477
168	4	0.3423878
169	6	0.43363124
170	2	0.53906554
171	6	0.6560801
172	2	0.7808115
173	4	0.9085109
174	5	1.0340792
175	6	1.1526693
176	6	1.2602402
177	6	1.3539573
178	3	1.432376
179	3	1.4953991
180	6	1.544046
181	4	1.5801114
182	6	1.6057917
183	2	1.6233544
184	5	1.6348904
185	6	1.642168
186	6	1.6465778
187	5	1.6491443
188	2	1.6505787
189	2	1.6513488
190	6	1.6517459
191	6	1.6519425
192	5	1.652036
193	2	1.6520787
194	6	1.6520976
195	5	1.6521055
196	5	1.6521086
197	4	1.6521099
198	6	1.6521103
199	6	1.6521105
200	6	1.6521106
201	5	1.6521106
202	6	1.6521106
203	2	1.6521106
204	6	1.6521106
205	2	1.6521106
206	5	1.6521106
207	3	1.6521106
208	6	1.6521106
209	5	1.6521106
210	2	1.6521106
211	4	1.6521106
212	3	1.6521106
213	5	1.6521106
214	4	1.6521106
215	6	1.6521106
216	3	1.6521106
217	5	1.6521106
218	3	1.6521106
219	3	1.6521106
220	4	0.05830836
221	3	0.05830875
222	5	0.05830981
223	5	0.05831255
224	6	0.05831937
225	5	0.058335662
226	2	0.05837304
227	5	0.058455408
228	2	0.058629747
229	5	0.058984146
230	2	0.059676085
231	2	0.060973637
232	6	0.063310616
233	3	0.067353226
234	2	0.07406979
235	6	0.08478765
236	3	0.10121422
237	6	0.12539457
238	3	0.15958114
239	3	0.20600337
240	6	0.2665477
241	6	0.3423878
242	5	0.43363124
243	5	0.53906554
244	2	0.6560801
245	2	0.7808115
246	2	0.9085109
247	3	1.0340792
248	5	1.1526693
249	3	1.2602402
250	2	1.3539573
251	5	1.432376
252	2	1.4953991
253	5	1.544046
254	6	1.5801114
255	5	1.6057917
256	4	1.6233544
257	3	1.6348904
258	3	1.642168
259	5	1.6465778
260	2	1.6491443
261	2	1.6505787
262	6	1.6513488
263	2	1.6517459
264	4	1.6519425
265	4	1.652036
266	4	1.6520787
267	5	1.6520976
268	2	1.6521055
269	2	1.6521086
270	3	1.6521099
271	3	1.6521103
272	4	1.6521105
273	6	1.6521106
274	7	1.6521106
275	8	1.6521106
276	7	1.6521106
277	8	1.6521106
278	9	1.6521106
279	10	1.6521106
280	11	1.6521106
281	12	1.6521106
282	9	1.6521106
283	11	1.6521106
284	12	1.6521106
285	10	1.6521106
286	8	1.6521106
287	10	1.6521106
288	8	1.6521106
289	12	1.6521106
290	11	1.6521106
291	7	1.6521106
292	12	1.6521106
293	12	0.05830836
294	11	0.05830875
295	7	0.05830981
296	10	0.05831255
297	12	0.05831937
298	8	0.058335662
299	12	0.05837304
300	11	0.058455408
301	8	0.058629747
302	12	0.058984146
303	7	0.059676085
304	9	0.060973637
305	9	0.063310616
306	10	0.067353226
307	7	0.07406979
308	12	0.08478765
309	8	0.10121422
310	8	0.12539457
311	8	0.15958114
312	11	0.20600337
313	10	0.2665477
314	8	0.3423878
315	10	0.43363124
316	9	0.53906554
317	9	0.6560801
318	11	0.7808115
319	7	0.9085109
320	11	1.0340792
321	7	1.1526693
322	9	1.2602402
323	12	1.3539573
324	11	1.432376
325	12	1.4953991
326	11	1.544046
327	8	1.5801114
328	11	1.6057917
329	9	1.6233544
330	11	1.6348904
331	11	1.642168
332	8	1.6465778
333	7	1.6491443
334	8	1.6505787
335	9	1.6513488
336	9	1.6517459
337	12	1.6519425
338	8	1.652036
339	10	1.6520787
340	11	1.6520976
341	7	1.6521055
342	12	1.6521086
343	12	1.6521099
344	8	1.6521103
345	10	1.6521105
346	12	1.6521106
347	8	1.6521106
348	7	1.6521106
349	8	1.6521106
350	12	1.6521106
351	12	1.6521106
352	12	1.6521106
353	7	1.6521106
354	9	1.6521106
355	10	1.6521106
356	10	1.6521106
357	10	1.6521106
358	10	1.6521106
359	11	1.6521106
360	10	1.6521106
361	10	1.6521106
362	9	1.6521106
363	10	1.6521106
364	12	1.6521106
365	6	1.6521106
